Datum/Uhrzeit;Benutzer;Transponder-Nummer;Ort des Ereignisses;Ereignis;Details;;;;;;
31.03.2025 18:03;Unknown;;Personal Tür;Security System;Scharf;;;;;;
31.03.2025 18:03;Unknown;;Personal Tür;Zutritt gewährt;Mit Austritts-Taster;;;;;;
31.03.2025 18:00;1, Person;9999999;Personal Tür (Austritt);Zutritt gewährt - Nur Transponder;Kein Zutritt erfolgt;;;;;;
31.03.2025 17:03;2, Person;2222222;Personal Tür (Austritt);Zutritt gewährt - Nur Transponder;Kein Zutritt erfolgt;;;;;;
31.03.2025 17:03;3, Person;4444444;Personal Tür (Austritt);Zutritt gewährt - Nur Transponder;Kein Zutritt erfolgt;;;;;;
31.03.2025 13:44;Unknown;;Personal Tür;Zutritt gewährt;Mit Austritts-Taster;;;;;;
31.03.2025 13:43;Unknown;;Personal Tür;Zutritt gewährt;Mit Austritts-Taster;;;;;;
31.03.2025 07:28;3, Person;4444444;Personal Tür (Eintritt);Zutritt gewährt - Nur Transponder;Kein Zutritt erfolgt;;;;;;
31.03.2025 07:26;4, Person;3333333;Personal Tür (Eintritt);Zutritt gewährt - Nur Transponder;Kein Zutritt erfolgt;;;;;;
31.03.2025 07:24;Unknown;;Personal Tür;Zutritt gewährt;Mit Austritts-Taster;;;;;;
31.03.2025 07:17;4, Person;3333333;Personal Tür (Eintritt);Zutritt gewährt - Nur Transponder;Kein Zutritt erfolgt;;;;;;
31.03.2025 07:13;1, Person;9999999;Personal Tür (Eintritt);Zutritt gewährt - Nur Transponder;Kein Zutritt erfolgt;;;;;;
31.03.2025 06:59;2, Person;2222222;Personal Tür (Eintritt);Zutritt gewährt - Nur Transponder;Kein Zutritt erfolgt;;;;;;
31.03.2025 06:28;Unknown;;Personal Tür;Zutritt gewährt;Mit Austritts-Taster;;;;;;
31.03.2025 06:28;Unknown;;Personal Tür;Security System;Unscharf;;;;;;
30.03.2025 12:09;Unknown;;Personal Tür;Security System;Scharf;;;;;;
30.03.2025 12:08;Unknown;;Personal Tür;Zutritt gewährt;Mit Austritts-Taster;;;;;;
30.03.2025 09:39;Unknown;;Personal Tür;Zutritt gewährt;Mit Austritts-Taster;;;;;;
30.03.2025 09:39;Unknown;;Personal Tür;Security System;Unscharf;;;;;;
28.03.2025 13:38;Unknown;;Personal Tür;Security System;Scharf;;;;;;
28.03.2025 13:38;Unknown;;Personal Tür;Zutritt gewährt;Mit Austritts-Taster;;;;;;
28.03.2025 12:41;Unknown;;Personal Tür;Zutritt gewährt;Mit Austritts-Taster;;;;;;
28.03.2025 12:06;3, Person;4444444;Personal Tür (Austritt);Zutritt gewährt - Nur Transponder;Kein Zutritt erfolgt;;;;;;
28.03.2025 12:04;2, Person;2222222;Personal Tür (Austritt);Zutritt gewährt - Nur Transponder;Kein Zutritt erfolgt;;;;;;
28.03.2025 10:30;2, Person;2222222;Personal Tür (Eintritt);Zutritt gewährt - Nur Transponder;Kein Zutritt erfolgt;;;;;;
28.03.2025 09:02;2, Person;2222222;Personal Tür (Austritt);Zutritt gewährt - Nur Transponder;Kein Zutritt erfolgt;;;;;;
28.03.2025 07:30;3, Person;4444444;Personal Tür (Eintritt);Zutritt gewährt - Nur Transponder;Kein Zutritt erfolgt;;;;;;
28.03.2025 07:27;Unknown;;Personal Tür;Zutritt gewährt;Mit Austritts-Taster;;;;;;
28.03.2025 06:19;Unknown;;Personal Tür;Zutritt gewährt;Mit Austritts-Taster;;;;;;
28.03.2025 06:19;Unknown;;Personal Tür;Security System;Unscharf;;;;;;
27.03.2025 17:54;Unknown;;Personal Tür;Security System;Scharf;;;;;;
